time,left_hip,right_hip,left_knee,right_knee,gait_phase
0.000000,-10.613187,23.305425,-1.275722,43.065325,Mid-LSw
0.033333,-10.556625,24.697429,-1.030428,48.179887,Mid-LSw
0.066667,-10.508772,26.206481,-0.808167,52.989079,Mid-LSw
0.100000,-10.517673,27.788107,-0.659773,57.422809,Mid-LSw
0.133333,-10.692424,29.462452,-0.566061,61.401909,Mid-LSw
0.166667,-11.013043,31.176743,-0.521375,64.489504,Mid-LSw
0.200000,-11.651771,33.048957,-0.499726,67.734357,Mid-LSw
0.233333,-12.454075,34.918410,-0.518462,69.625051,Mid-LSw
0.266667,-13.327550,36.765895,-0.570256,72.079784,Mid-LSw
0.300000,-14.040748,38.399896,-0.697913,73.876548,Mid-LSw
0.333333,-14.225477,39.539879,-0.970718,75.698913,Mid-LSw
0.366667,-13.816811,40.207265,-1.271268,78.433994,Mid-LSw
0.400000,-13.008995,40.735719,-1.606760,81.832138,Mid-LSw
0.433333,-11.801729,40.602697,-1.195632,84.587482,Mid-LSw
0.466667,-10.685241,40.302235,-0.775474,86.102297,Mid-LSw
0.500000,-9.184335,37.955303,-0.967029,84.551528,Mid-LSw
0.533333,-7.224612,34.272454,-1.188521,81.537945,Mid-LSw
0.566667,-5.481671,30.106339,-1.337349,77.134480,Mid-LSw
0.600000,-3.174561,24.681262,-2.181598,71.441671,Mid-LSw
0.633333,-1.854653,19.134634,-6.646959,64.367939,Mid-LSw
0.666667,-2.200856,14.334622,-15.481636,56.755317,Mid-LSw
0.700000,-2.820798,9.627717,-22.619180,48.308574,Mid-LSw
0.733333,-3.852991,3.203755,-32.508325,35.713805,Mid-LSw
0.766667,-5.157484,2.729126,-41.422803,20.780543,Mid-LSw
0.800000,-7.165428,6.451194,-48.573805,8.499429,Mid-LSw
0.833333,-9.751753,6.784745,-53.084172,4.081600,Mid-LSw
0.866667,-12.262461,6.017330,-56.828178,2.611612,Mid-LSw
0.900000,-14.488208,4.910470,-60.023547,2.059998,Term-LSw
0.933333,-40.339678,0.991205,-65.843678,7.084494,DSt1
0.966667,-42.451094,2.854951,-66.941774,9.571752,DSt1
1.000000,-44.456267,5.506786,-67.615684,14.539180,DSt1
1.033333,-46.507566,8.672030,-68.310020,20.854236,DSt1
1.066667,-48.171785,11.795433,-68.483458,26.194724,DSt1
1.100000,-49.611068,14.822577,-68.433634,29.830638,DSt1
1.133333,-50.657089,17.444216,-67.942938,31.182830,DSt1
1.166667,-51.187863,19.516464,-67.271114,31.404022,DSt1
1.200000,-51.036799,20.783634,-66.121516,30.116767,DSt1
1.233333,-50.382706,21.178155,-64.589540,27.026360,DSt1
1.266667,-49.015523,21.575501,-62.349927,25.968062,DSt1
1.300000,-47.758336,21.854554,-61.092004,24.434346,DSt1
